;ACTIVE_AT;ACTIVE_AX;ACTIVE_CheckCosmos;Start_ACTIVE_CheckCosmos;CosmosStatus_ACTIVE_CheckCosmos;GwsAreOK_ACTIVE_CheckCosmos;trainbus_fnLRS_ACTIVE_CheckCosmos;Address_ACTIVE_CheckCosmos;ReadHeartBeats_ACTIVE_CheckCosmos;CCVarQualityReset_ACTIVE_CheckCosmos;RefreshAdmVars_ACTIVE_CheckCosmos;AdmsAreOK_ACTIVE_CheckCosmos;CcusAreOK_ACTIVE_CheckCosmos;fnLRS_ACTIVE_CheckCosmos;TrazasDepuracion_ACTIVE_CheckCosmos;PrintTrazas_ACTIVE_CheckCosmos;ACTIVE_CM;ACTIVE_CV;ACTIVE_EC;ACTIVE_EQ;ACTIVE_EV1;ACTIVE_EV2;ACTIVE_EV3;ACTIVE_EV4;ACTIVE_GE;ACTIVE_GW;ACTIVE_HMI;ACTIVE_IL;ACTIVE_LZ;ACTIVE_MT;ACTIVE_PU;ACTIVE_RG;ACTIVE_SC;ACTIVE_SIV;MonVarInit;CheckAlignment;StartMonitorSystem;GetNumTSPorts;UserInit;main;Background;EXECUTE_PASSIVE_BLOCK_8;EXECUTE_PASSIVE_BLOCK_16;EXECUTE_PASSIVE_BLOCK_32;EXECUTE_PASSIVE_BLOCK_64;EXECUTE_PASSIVE_BLOCK_128;EXECUTE_PASSIVE_BLOCK_256;EXECUTE_PASSIVE_BLOCK_512;EXECUTE_PASSIVE_BLOCK_1024;EXECUTE_PASSIVE_NON_SUPPORTED_BLOCKS;EXECUTE_ACTIVE_BLOCK_8;EXECUTE_ACTIVE_BLOCK_16;EXECUTE_ACTIVE_BLOCK_32;EXECUTE_ACTIVE_BLOCK_64;EXECUTE_ACTIVE_BLOCK_128;EXECUTE_ACTIVE_BLOCK_256;EXECUTE_ACTIVE_BLOCK_512;EXECUTE_ACTIVE_BLOCK_1024;EXECUTE_ACTIVE_NON_SUPPORTED_BLOCKS;CCU_DRS_INIT;CCU_GO_TO_SHUTDOWN;CCU_REQUEST_REDUNDANT_DATA;PASSIVE_AT;PASSIVE_AX;PASSIVE_CheckCosmos;Start_PASSIVE_CheckCosmos;CosmosStatus_PASSIVE_CheckCosmos;GwsAreOK_PASSIVE_CheckCosmos;trainbus_fnLRS_PASSIVE_CheckCosmos;Address_PASSIVE_CheckCosmos;ReadHeartBeats_PASSIVE_CheckCosmos;CCVarQualityReset_PASSIVE_CheckCosmos;RefreshAdmVars_PASSIVE_CheckCosmos;AdmsAreOK_PASSIVE_CheckCosmos;CcusAreOK_PASSIVE_CheckCosmos;fnLRS_PASSIVE_CheckCosmos;TrazasDepuracion_PASSIVE_CheckCosmos;PrintTrazas_PASSIVE_CheckCosmos;PASSIVE_CM;PASSIVE_CV;PASSIVE_EC;PASSIVE_EQ;PASSIVE_EV1;PASSIVE_EV2;PASSIVE_EV3;PASSIVE_EV4;PASSIVE_GE;PASSIVE_GW;PASSIVE_HMI;PASSIVE_IL;PASSIVE_LZ;PASSIVE_MT;PASSIVE_PU;PASSIVE_RG;PASSIVE_SC;PASSIVE_SIV;UserMenu;UserPreInit
ACTIVE_EV1;0,9958071;0,99541986;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9980469;0,9959267;0,991684;1;0;0,9918699;0,9915541;0,9933185;1;1;0,99719495;0,99182004;0,99211043;0,9917763;0,9959184;1;1;0,99415207;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_EV2;1;0,99559474;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,99655175;0,99288255;1;0,9918699;0;0,99234694;0,98785424;1;1;0,9983687;0,9930796;0,99348533;0,99511003;1;1;1;0,99680513;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_EV3;0,99206346;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9965157;0,9962547;1;1;0,9915541;0,99234694;0;0,98660713;1;1;0,9991694;0,99248123;0,99649125;0,9948186;0,99245286;1;1;0,9930796;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_EV4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9933185;0,98785424;0,98660713;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_GE;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_GW;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_HMI;0,99815667;0,9960349;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9972678;0,9963269;1;0,99719495;0,9983687;0,9991694;1;1;1;0;0,995438;0,99370503;0,99007446;0,9981785;0,99646646;1;0,9973238;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_IL;0,97959185;0,9938838;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9945355;0,98136646;0,98039216;1;0,99182004;0,9930796;0,99248123;1;1;1;0,995438;0;0,98324025;0,98207885;0,9875776;1;1;0,9836956;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_LZ;0,994012;0,99127907;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,98888886;0,98245615;1;0,99211043;0,99348533;0,99649125;1;1;1;0,99370503;0,98324025;0;0,9762712;0,99444443;0,9859813;1;0,99014777;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
ACTIVE_MT;0,9811321;0,9887387;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9966997;0,98932385;0,9852941;1;0,9917763;0,99511003;0,9948186;1;1;1;0,99007446;0,98207885;0,9762712;0;0,99288255;0,9873016;1;0,9557823;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
